"foc0" "g1" "ninecode"
1 0 120130613
1 0 120130614
1 0 120130680
1 0 120130681
1 0 120130682
1 0 120130683
1 0 120130684
1 0 120130685
1 0 120130686
1 0 120130691
1 0 120130692
1 0 120130694
1 0 120130695
1 0 120130721
1 0 120130722
1 0 120130723
1 0 120130724
1 0 120130725
1 0 120130728
1 0 120130729
1 0 120130753
1 0 120130754
1 0 120130755
1 0 120130756
1 0 120130799
1 0 120130800
1 0 120143001
1 0 120143007
1 0 120143008
1 0 120143009
1 0 120143010
1 0 120143280
1 0 120143281
1 0 120143282
1 0 120143287
1 0 123116227
1 0 123116228
1 0 125158709
1 0 125158710
1 0 125158711
1 0 125158716
1 0 125158717
1 0 125158718
1 0 125158719
1 0 125158739
1 0 125158740
1 0 125158769
1 0 125158770
1 0 125158771
1 0 125158772
0.5 0.5 125158776
0.5 0.5 125158777
0.5 0.5 125158778
1 0 125158782
1 0 125158783
1 0 125158784
1 0 125158789
1 0 125158790
1 0 125158888
1 0 125158889
1 0 125158890
1 0 125158914
1 0 125158915
1 0 125158982
1 0 125159141
1 0 125159142
1 0 125159143
1 0 125159233
1 0 125159234
1 0 125159251
1 0 125159252
1 0 125159305
1 0 125159360
1 0 125159361
1 0 125159362
1 0 125159363
1 0 125159376
1 0 125159377
1 0 125159378
1 0 125159379
1 0 125159380
1 0 125159381
1 0 125160165
1 0 125160166
1 0 125160167
1 0 125160168
1 0 125160169
1 0 125160170
1 0 125160171
1 0 125160172
1 0 125160173
1 0 125160179
1 0 125160180
1 0 125160181
0.5 0.5 125160187
0.5 0.5 125160188
1 0 125160202
1 0 125160203
1 0 125160204
1 0 125160205
1 0 125160206
0.5 0.5 125160215
0.5 0.5 125160216
1 0 125160236
1 0 125160237
1 0 125160238
1 0 125160239
1 0 125160245
1 0 125160246
1 0 125160247
1 0 125160248
1 0 125160250
1 0 125160251
1 0 125160252
1 0 125160289
1 0 125160290
1 0 125160291
1 0 125160292
1 0 125160293
0.5 0.5 125160294
0.5 0.5 125160295
0.5 0.5 125160296
1 0 791330308
1 0 999999464
1 0 109137480
1 0 109137481
1 0 109137483
1 0 109137493
1 0 109137495
1 0 109137496
1 0 109137497
1 0 117174314
1 0 117174315
1 0 117174340
1 0 117174341
1 0 117174342
1 0 117174343
1 0 117174344
1 0 117174345
1 0 117174350
1 0 117174351
1 0 117174372
1 0 117174373
1 0 117174377
1 0 117174386
1 0 117174387
1 0 117174388
1 0 117174389
1 0 117174390
1 0 117174391
1 0 117174395
1 0 117174396
1 0 117174397
0.75 0.25 117174398
0.75 0.25 117174399
0.75 0.25 117174400
1 0 120130501
1 0 120130502
1 0 120130503
1 0 120130505
1 0 120130506
1 0 120130507
1 0 120130515
1 0 120130516
1 0 120130517
1 0 120130518
1 0 120130519
1 0 120130520
1 0 120130521
1 0 120130522
1 0 120130523
1 0 120130524
1 0 120130525
1 0 120130526
0.75 0.25 120130531
0.75 0.25 120130532
0.75 0.25 120130533
0.75 0.25 120130534
1 0 120130535
1 0 120130536
1 0 120130537
1 0 120130538
1 0 120130539
1 0 120130540
1 0 120130544
1 0 120130545
1 0 120130546
1 0 120130555
1 0 120130556
1 0 120130557
1 0 120130558
0.75 0.25 120130559
0.75 0.25 120130560
0.75 0.25 120130561
1 0 120130562
1 0 120130563
1 0 120130567
1 0 120130568
1 0 120130569
1 0 120130570
1 0 120130575
1 0 120130576
1 0 120130577
1 0 120130578
1 0 120130579
1 0 120130580
1 0 120130581
1 0 120130582
1 0 120130583
1 0 120130584
1 0 120130585
1 0 120130586
1 0 120130587
1 0 120130588
1 0 120130589
1 0 120130590
1 0 120130591
1 0 120130592
1 0 120130593
0.5 0.5 120130594
0.5 0.5 120130595
0.5 0.5 120130596
0.75 0.25 120130601
1 0 120130602
1 0 120130603
1 0 120130604
0.75 0.25 120130605
0.75 0.25 120130606
0.75 0.25 120130607
0.75 0.25 120130608
1 0 120130615
1 0 120130616
1 0 120130617
1 0 120130618
1 0 120130619
1 0 120130620
1 0 120130621
1 0 120130622
