"ninecode" "natalyr" "sex.use" "nestrec" "surv.ind.to.ad" "brood.date" "sex.use.x1" "f.coef" "foc0" "g1" "natalyr.no"
145162061 1995 1 2065 0 118 1 0.10041618347168 0.4805908203125 0.5194091796875 21
145162062 1995 1 2065 0 118 1 0.10041618347168 0.4805908203125 0.5194091796875 21
145162063 1995 2 2094 1 117 2 0.0565395355224609 0.658935546875 0.341064453125 21
145162064 1995 2 2094 0 117 2 0.0565395355224609 0.658935546875 0.341064453125 21
145162065 1995 2 2094 1 117 2 0.0565395355224609 0.658935546875 0.341064453125 21
145162066 1995 1 2094 1 117 1 0.0565395355224609 0.658935546875 0.341064453125 21
145162067 1995 2 2069 1 119 2 0.0335235595703125 0.53173828125 0.46826171875 21
145162069 1995 2 2088 1 123 2 0.0310440063476562 0.48193359375 0.51806640625 21
145162070 1995 1 2088 0 123 1 0.0310440063476562 0.48193359375 0.51806640625 21
145162071 1995 1 2088 0 123 1 0.0310440063476562 0.48193359375 0.51806640625 21
145162073 1995 1 2060 0 125 1 0.123386383056641 0.62548828125 0.37451171875 21
145162074 1995 2 2060 1 125 2 0.056640625 0.5546875 0.4453125 21
145162079 1995 1 2110 0 131 1 0.0856342315673828 0.6005859375 0.3994140625 21
145162080 1995 2 2044 0 131 2 0.178970336914062 0.6416015625 0.3583984375 21
145162081 1995 1 2084 0 133 1 0.0983409881591797 0.646240234375 0.353759765625 21
145162082 1995 1 2084 0 133 1 0.0983409881591797 0.646240234375 0.353759765625 21
145162083 1995 2 2084 0 133 2 0.0983409881591797 0.646240234375 0.353759765625 21
145162084 1995 1 2084 0 133 1 0.0983409881591797 0.646240234375 0.353759765625 21
145162085 1995 2 2106 0 134 2 0.0908012390136719 0.673095703125 0.326904296875 21
145162086 1995 2 2106 0 134 2 0.0908012390136719 0.673095703125 0.326904296875 21
145162087 1995 1 2106 0 134 1 0.0908012390136719 0.673095703125 0.326904296875 21
145162088 1995 1 2030 0 134 1 0.0640792846679688 0.58056640625 0.41943359375 21
145162089 1995 1 2030 0 134 1 0.0640792846679688 0.58056640625 0.41943359375 21
145162090 1995 1 2021 0 136 1 0.0786819458007812 0.61083984375 0.38916015625 21
145162092 1995 1 2059 0 138 1 0.0549507141113281 0.3134765625 0.6865234375 21
145162094 1995 2 2103 0 136 2 0.0511970520019531 0.58251953125 0.41748046875 21
145162095 1995 1 2103 0 136 1 0.0836715698242188 0.62060546875 0.37939453125 21
145162096 1995 1 2103 0 136 1 0.0511970520019531 0.58251953125 0.41748046875 21
145162097 1995 1 2093 1 136 1 0.0233306884765625 0.4990234375 0.5009765625 21
145162098 1995 2 2093 0 136 2 0.06591796875 0.4140625 0.5859375 21
145162099 1995 1 2093 0 136 1 0.06591796875 0.4140625 0.5859375 21
145162101 1995 2 2038 0 135 2 0.0812692642211914 0.469482421875 0.530517578125 21
145162102 1995 2 2038 0 135 2 0.0812692642211914 0.469482421875 0.530517578125 21
145162103 1995 2 2038 0 135 2 0.0812692642211914 0.469482421875 0.530517578125 21
145162104 1995 1 2082 0 137 1 0.192230224609375 0.54638671875 0.45361328125 21
145162105 1995 1 2082 0 137 1 0.192230224609375 0.54638671875 0.45361328125 21
145162107 1995 2 2082 0 137 2 0.192230224609375 0.54638671875 0.45361328125 21
145162108 1995 2 2064 0 138 2 0.0911064147949219 0.58740234375 0.41259765625 21
145162110 1995 2 2064 0 138 2 0.0911064147949219 0.58740234375 0.41259765625 21
145162111 1995 1 2064 0 138 1 0.0494804382324219 0.6484375 0.3515625 21
145162112 1995 1 2020 1 139 1 0.030487060546875 0.62353515625 0.37646484375 21
145162113 1995 2 2020 0 139 2 0.030487060546875 0.62353515625 0.37646484375 21
145162114 1995 1 2069 0 119 1 0.0335235595703125 0.53173828125 0.46826171875 21
145162115 1995 1 2032 0 141 1 0.040802001953125 0.6240234375 0.3759765625 21
145162116 1995 2 2032 0 141 2 0.040802001953125 0.6240234375 0.3759765625 21
145162117 1995 2 2032 0 141 2 0.040802001953125 0.6240234375 0.3759765625 21
145162119 1995 2 2063 0 139 2 0.077392578125 0.454345703125 0.545654296875 21
145162120 1995 1 2063 0 139 1 0.075439453125 0.52294921875 0.47705078125 21
145162121 1995 1 2063 1 139 1 0.075439453125 0.52294921875 0.47705078125 21
145162122 1995 1 2063 0 139 1 0.077392578125 0.454345703125 0.545654296875 21
145162125 1995 2 2054 1 139 2 0.0802040100097656 0.450927734375 0.549072265625 21
145162126 1995 1 2054 0 139 1 0.0802040100097656 0.450927734375 0.549072265625 21
145162127 1995 2 2077 0 140 2 0.0233306884765625 0.4482421875 0.5517578125 21
145162128 1995 1 2077 0 140 1 0.0233306884765625 0.4482421875 0.5517578125 21
145162129 1995 2 2075 1 143 2 0.0718917846679688 0.5078125 0.4921875 21
145162131 1995 2 2040 0 142 2 0.0807380676269531 0.71484375 0.28515625 21
145162132 1995 2 2040 0 142 2 0.0807380676269531 0.71484375 0.28515625 21
145162134 1995 1 2042 1 143 1 0.0463676452636719 0.5859375 0.4140625 21
145162135 1995 2 2042 1 143 2 0.0463676452636719 0.5859375 0.4140625 21
145162136 1995 2 2067 0 145 2 0.0386123657226562 0.6494140625 0.3505859375 21
145162137 1995 1 2067 1 145 1 0.0386123657226562 0.6494140625 0.3505859375 21
145162139 1995 1 2028 1 145 1 0.0308990478515625 0.6083984375 0.3916015625 21
145162141 1995 2 2028 0 145 2 0.0308990478515625 0.6083984375 0.3916015625 21
145162142 1995 2 2028 0 145 2 0.0712890625 0.5234375 0.4765625 21
145162144 1995 1 2101 0 147 1 0.0577602386474609 0.5390625 0.4609375 21
145162145 1995 2 2101 0 147 2 0.0777664184570312 0.6123046875 0.3876953125 21
145162146 1995 2 2047 1 147 2 0.0214776992797852 0.519287109375 0.480712890625 21
145162147 1995 1 2047 0 147 1 0.0214776992797852 0.519287109375 0.480712890625 21
145162148 1995 2 2047 1 147 2 0.0214776992797852 0.519287109375 0.480712890625 21
145162149 1995 1 2108 1 148 1 0.056915283203125 0.626953125 0.373046875 21
145162151 1995 2 2108 1 148 2 0.056915283203125 0.626953125 0.373046875 21
145162155 1995 1 2061 0 154 1 0.113059997558594 0.626953125 0.373046875 21
145162156 1995 1 2061 0 154 1 0.113059997558594 0.626953125 0.373046875 21
145162158 1995 1 2017 0 156 1 0.0186843872070312 0.31494140625 0.68505859375 21
145162159 1995 2 2017 0 156 2 0.0186843872070312 0.31494140625 0.68505859375 21
145162160 1995 1 2017 0 156 1 0.0186843872070312 0.31494140625 0.68505859375 21
145162162 1995 1 2099 0 152 1 0.0826148986816406 0.561279296875 0.438720703125 21
